City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.19,168.86,57.0,79,71,10.0,NZ,1600816324
1,ilabaya,-17.42,-70.51,62.02,49,0,0.4,PE,1600816324
2,okhotsk,59.38,143.3,50.04,79,6,4.52,RU,1600816325
3,kapaa,22.08,-159.32,86.0,62,1,12.75,US,1600816325
4,ekhabi,53.51,142.97,50.67,73,0,10.13,RU,1600816325
5,fort saint james,54.43,-124.25,58.96,59,96,4.7,CA,1600816325
6,ushuaia,-54.8,-68.3,42.8,70,40,18.34,AR,1600816325
7,saldanha,-33.01,17.94,48.2,76,0,4.7,ZA,1600816326
8,xinzhou,38.41,112.73,57.54,86,100,3.18,CN,1600816326
9,bredasdorp,-34.53,20.04,44.6,93,58,2.24,ZA,1600816326
10,tabou,4.42,-7.35,76.01,87,66,9.84,CI,1600816326
11,azuaga,38.27,-5.68,66.99,62,100,1.99,ES,1600816327
12,saint-philippe,-21.36,55.77,66.2,55,35,5.82,RE,1600816327
13,hasaki,35.73,140.83,70.0,94,75,6.93,JP,1600816327
14,kiama,-34.68,150.87,66.99,46,0,8.01,AU,1600816197
15,bratsk,56.13,101.61,37.4,86,94,6.71,RU,1600816327
16,busselton,-33.65,115.33,48.99,79,31,8.37,AU,1600816327
17,zhigansk,66.77,123.37,41.04,76,28,3.89,RU,1600816328
18,dikson,73.51,80.55,41.2,85,81,11.32,RU,1600816328
19,antalaha,-14.9,50.28,66.58,82,1,6.71,MG,1600816328
20,fort-de-france,14.61,-61.07,84.2,79,100,5.82,MQ,1600816329
21,jamestown,42.1,-79.24,61.0,55,1,8.05,US,1600816329
22,bac lieu,9.29,105.72,78.78,88,100,2.8,VN,1600816329
23,provideniya,64.38,-173.3,46.4,65,4,6.71,RU,1600816329
24,cockburn town,21.46,-71.14,81.7,81,100,11.59,TC,1600816127
25,noumea,-22.28,166.46,78.01,50,24,2.24,NC,1600816128
26,carnarvon,-24.87,113.63,51.8,53,0,9.17,AU,1600816264
27,coquimbo,-29.95,-71.34,53.6,93,75,10.29,CL,1600816330
28,albany,42.6,-73.97,63.0,40,0,4.0,US,1600816204
29,tabas,33.6,56.92,77.0,27,0,2.24,IR,1600816330
30,kodiak,57.79,-152.41,50.0,90,100,32.01,US,1600816323
31,tuktoyaktuk,69.45,-133.04,41.0,80,90,4.7,CA,1600816330
32,brookhaven,31.58,-90.44,73.4,88,90,5.82,US,1600816330
33,pahrump,36.21,-115.98,95.0,11,0,5.01,US,1600816331
34,kilindoni,-7.91,39.67,78.82,78,71,18.28,TZ,1600816331
35,rikitea,-23.12,-134.97,72.86,74,100,18.95,PF,1600816331
36,sao joao da barra,-21.64,-41.05,70.03,95,100,14.32,BR,1600816331
37,sigulda,57.15,24.86,50.0,96,54,5.46,LV,1600816331
38,jensen beach,27.25,-80.23,82.4,54,75,11.41,US,1600816331
39,chokurdakh,70.63,147.92,42.39,88,99,7.81,RU,1600816332
40,sorong,-0.88,131.25,79.32,83,100,3.74,ID,1600816332
41,lata,40.16,-8.33,68.0,93,20,5.82,PT,1600816332
42,barrow,71.29,-156.79,35.6,74,90,17.22,US,1600816204
43,mar del plata,-38.0,-57.56,60.8,55,100,9.17,AR,1600816276
44,narsaq,60.92,-46.05,30.2,58,5,3.36,GL,1600816332
45,kang,-23.68,22.79,61.83,60,11,18.99,BW,1600816332
46,sao filipe,14.9,-24.5,80.42,81,9,6.53,CV,1600816333
47,port alfred,-33.59,26.89,57.81,73,0,4.12,ZA,1600816333
48,tasiilaq,65.61,-37.64,28.4,74,100,4.7,GL,1600816334
49,praya,14.92,-23.51,78.8,94,20,4.7,CV,1600816334
50,clyde river,70.47,-68.59,23.0,85,20,8.05,CA,1600816334
51,vaini,-21.2,-175.2,75.2,83,75,12.75,TO,1600816334
52,belaya gora,68.53,146.42,44.89,77,97,5.93,RU,1600816334
53,waingapu,-9.66,120.26,79.92,55,66,3.89,ID,1600816335
54,evensk,61.95,159.23,43.88,56,0,2.93,RU,1600816335
55,roma,43.21,-75.46,60.8,63,1,9.17,US,1600816335
56,hobart,-42.88,147.33,53.6,58,75,13.87,AU,1600816251
57,pout,14.77,-17.06,78.8,94,20,6.93,SN,1600816336
58,port lincoln,-34.73,135.87,55.38,72,13,16.08,AU,1600816336
59,faanui,-16.48,-151.75,78.22,76,3,15.95,PF,1600816337
60,komsomolskiy,40.43,71.72,53.6,71,0,4.7,UZ,1600816337
61,hay river,60.82,-115.8,62.6,39,20,13.87,CA,1600816147
62,samarai,-10.62,150.67,78.78,84,96,16.84,PG,1600816338
63,ribeira grande,38.52,-28.7,69.15,85,93,10.76,PT,1600816338
64,khorramabad,33.49,48.36,63.7,35,0,4.94,IR,1600816338
65,nassau,40.75,-73.58,69.01,34,1,5.82,US,1600816338
66,mogadishu,2.04,45.34,77.7,88,73,14.94,SO,1600816338
67,atuona,-9.8,-139.03,78.39,72,78,19.35,PF,1600816338
68,pevek,69.7,170.31,38.93,92,100,20.13,RU,1600816339
69,puerto leguizamo,-0.19,-74.78,75.72,88,68,5.97,CO,1600816339
70,kahului,20.89,-156.47,89.6,52,40,25.28,US,1600816340
71,codrington,-38.27,141.97,50.61,83,94,14.52,AU,1600816340
72,baykit,61.67,96.37,42.85,87,100,4.05,RU,1600816341
73,doha,25.29,51.53,89.6,79,0,2.24,QA,1600816106
74,rabo de peixe,37.8,-25.58,66.2,82,20,6.93,PT,1600816341
75,arraial do cabo,-22.97,-42.03,67.08,88,100,20.38,BR,1600816342
76,adre,13.47,22.2,77.68,62,40,7.81,TD,1600816342
77,fairbanks,64.84,-147.72,54.0,61,1,3.36,US,1600816087
78,gornyak,50.99,81.47,48.34,56,100,4.21,RU,1600816342
79,leh,34.17,77.58,47.79,43,0,4.38,IN,1600816343
80,punta arenas,-53.15,-70.92,46.4,65,75,12.75,CL,1600816242
81,kruisfontein,-34.0,24.73,48.99,58,0,4.14,ZA,1600816072
82,hilo,19.73,-155.09,82.4,65,90,6.64,US,1600816343
83,pisco,-13.7,-76.22,64.4,77,6,8.05,PE,1600816343
84,saquarema,-22.92,-42.51,68.0,94,90,16.11,BR,1600816343
85,airai,-8.93,125.41,65.61,78,3,2.95,TL,1600816344
86,natal,-5.79,-35.21,77.0,83,20,10.29,BR,1600816345
